Frequency (MHz),Power (Watts),Error Time (s),Error Distance,Hamming Distance,Error Iterations Since Last Error
3045,55.99,4.90523178300009,7427638358589020560,160921,1
3045,56.05,4.909102447000009,7795389807891354304,123353,1
3045,55.95,4.906444699999952,16532775529962591656,159916,1
3045,56.01,4.90590591800003,12619589311544994744,166728,1
3045,56.22,4.906494070000008,16664716932776711368,162746,1
3045,56.34,4.912800611999955,7784068264268197832,120121,1
3045,56.19,4.956291790000023,3398001264490833304,122090,1
3045,56.15,4.913563595000028,13550386497610041712,123233,1
3045,56.30,4.908966595999914,16921469253127744768,125839,1
3045,56.24,4.906240134000086,14935943800982210752,136461,1
3045,56.31,4.908876427999985,17794205880404823416,128796,1
3045,56.32,4.9100527360000115,5185877023487388096,124889,1
3030,55.63,4.284969277000073,13406065107301242880,19135,0
3030,55.98,4.949260034999952,5873828238679472496,28031,1
3030,55.58,4.939955850000047,18008188355764303872,31687,1
3030,55.87,4.949280810000005,13959259187421098576,31663,1
3030,55.70,4.941693424999926,92571665905890304,30565,1
3030,55.99,4.949252535000028,8041245821245980672,33355,1
3030,55.66,4.944270499000027,6158975509679687456,30669,1
3030,55.94,4.951243945999977,4868273260680304640,24643,1
3030,55.59,4.945088250000026,9768632900746151936,25542,1
3030,56.03,4.975000069999965,8265961140895295488,24023,1
3030,55.93,4.97901223000008,2878292537278025728,23482,1
3030,56.26,4.953642031999948,17640099263821246464,21421,1
3030,55.92,4.943403902999989,18200721700988006400,26148,1
3030,55.78,4.97771788700004,3422464695517577216,22963,1
3030,55.81,4.95158956299997,9017333289837888432,32668,1
3030,55.92,4.916980104000004,17679683350482157568,31871,1
3030,55.40,4.94245730199998,1064821270541721504,31815,1
3030,55.48,4.980418154000063,15204309240939073536,27957,1
3030,55.63,4.9811012999999775,13294152985847583840,24631,1
3030,55.44,4.97757749099992,3713378627728714752,22709,1
3030,55.82,4.979829188000053,8924831003109031936,25352,1
3030,55.50,4.9786004039999625,7768674312437891072,23305,1
3030,55.53,4.987131758000032,1245606033331847168,22112,1
3030,55.85,4.964493184000048,10482403277300432896,25133,1
3030,55.71,4.923777507999944,5439829255082635264,24381,1
3030,55.67,4.946491880000053,8754663665314740224,21176,1
3030,55.64,4.975731273999941,7453682918758595904,33151,1
3030,55.90,4.975360075000026,15752023893106151424,32953,1
3030,55.60,4.973215542000048,1753081681982618368,31448,1
3030,55.94,4.95330512999999,3458078593664447936,33670,1
3030,55.67,4.9407190529999525,17526956327824474112,34410,1
3030,55.91,4.972634900000003,1477688784612089152,33685,1
3030,55.59,4.938067808000028,16415491305089269760,33088,1
3030,55.66,4.973286019999932,9090473610407514864,35047,1
3030,55.85,4.973554492000062,2351028671385960448,34465,1
3030,55.85,4.973093289999952,8341600056883223920,32942,1
3030,55.96,4.971229941000047,10107078144056424448,32683,1
3030,55.95,4.97442804100001,3391002350439170048,33438,1
3030,55.97,4.9552644719999535,2125417374319661056,19287,1
3030,55.63,4.939536013000065,4857210022499975168,33281,1
3030,56.07,4.948197289999939,4582817573346693120,35430,1
