Frequency (MHz),Power (Watts),Error Time (s),Error Distance,Hamming Distance,Error Iterations Since Last Error
3075,81.72,0.042071388000010757,6742055756684853248,54,1
3075,81.72,0.042109132999996746,10937941652312686592,37,1
3075,81.77,0.0418579929999936,1061354182789038080,51,1
3075,81.77,0.04193807500000446,3201170906554302464,49,1
3075,81.48,0.042216719999998986,18020722894036140032,47,1
3075,81.48,0.04542325500000288,13082165248,46,1
3075,81.48,0.04231668500000296,13946170281342402560,58,1
3075,81.85,0.054622783999988656,5278174776556388352,58,1
3075,81.85,0.042323550000006094,5232004119150329856,59,1
3075,80.78,0.043441466000004425,1042943945253453824,54,1
3075,80.78,0.044411162000002946,3199086257330585600,43,1
3075,80.81,0.04259570499999654,8008253361282220032,52,1
3075,80.81,0.04549281900000324,4467940266959831040,51,1
3075,80.80,0.04414452799998969,1991541021307961344,45,1
3075,80.80,0.04417078000000174,6087582485101281280,49,1
3075,80.80,0.040536176000003366,9844050739714457600,43,1
3075,80.90,0.05639668199999903,10124329465129074688,70,1
3075,80.90,0.0491437000000019,3394948850272829440,46,1
3075,79.70,0.04087855800000284,18386446870263365632,47,1
3075,79.70,0.045732685999993805,6147721362043305984,43,1
2640,80.78,0.04443063000000791,15553524374131179520,60,1
3075,79.62,0.21609070199998826,17470193018426884096,37,10
3075,79.62,0.04167170700000611,7936362910172708864,50,1
3075,80.50,0.04187096900000142,3501953343140790272,60,1
3075,80.50,0.0417208269999918,3286774485974515712,56,1
3075,80.56,0.04296193900000844,13534715466827431936,62,1
3075,80.56,0.04368133100000193,18446744067014131712,45,1
3075,79.57,0.04303694399999358,15790605448457355264,65,1
3075,79.57,0.044940904000000614,4455546558441455616,58,1
3075,79.57,0.04446792699999946,14249477166412070912,62,1
3075,80.42,0.04379566000000068,11876176934735970304,61,1
3075,80.42,0.04389672599999983,4703429261748076544,41,1
3075,80.63,0.0419075900000081,9269621897946857472,55,1
3075,80.63,0.04471400599999242,960331052649938944,58,1
3075,80.66,0.04387320200000033,12611046557884874752,59,1
3075,80.66,0.04322910800000557,7685199265763426304,71,1
3075,80.66,0.04300035999999352,8162783115643584512,49,1
3075,80.47,0.04216944399999534,7410365333075132416,77,1
3075,80.47,0.04287022500000148,16712277674045603840,47,1
3075,81.83,0.043529321999997705,5525846367784796160,56,1
3075,81.83,0.04280297000001099,15011517921622491136,45,1
3075,80.76,0.044237539999997466,14381963936177586176,64,1
3075,80.76,0.04489955799999734,8009704714020847616,59,1
3075,81.31,0.044290105000001745,113170549913550848,57,1
3075,81.31,0.04376127300000121,2064108800478019584,57,1
3075,81.31,0.04463550900000257,12314292759059759104,44,1
3075,81.93,0.046321651999988944,286101708537200640,51,1
3075,81.93,0.04627362800000867,16343888510998413312,67,1
3075,81.14,0.04522949399999732,7287554283811504128,52,1
3075,81.14,0.05799021200000709,16006787037572759552,61,1
3075,81.06,0.043953585999986444,1829279495145914368,54,1
3075,81.06,0.041694268000000534,18446744054863495168,76,1
3075,81.10,0.041901135000003364,2184087493745049600,40,1
3075,81.10,0.04635553399999992,7894924491731501056,61,1
3075,80.19,0.04501003800000092,13302568968603959296,43,1
3075,80.19,0.043982765999999174,1547628565134573568,58,1
3075,80.19,0.04358608200000447,10653625559222321152,60,1
3075,80.99,0.042084016000004,8750318156826935296,61,1
3075,80.99,0.044994141999993076,13293623342403158016,74,1
3075,81.07,0.045165366999995626,2648389269037121536,51,1
3075,81.07,0.04599689600000545,235664935423049728,51,1
2640,80.78,0.057069475999995234,11011397846530260992,67,1
3075,79.80,0.21879382400000225,3911939218469421056,61,10
3075,79.63,0.05326077700000553,9159829058647621632,62,1
3075,79.63,0.044606024000003686,15146661092305797120,59,1
3075,78.55,0.0564502229999988,878659323936636928,59,1
3075,78.55,0.05443774999999107,13376834393339854848,42,1
3075,78.46,0.04537857399999723,697512597067661312,50,1
3075,78.46,0.04368500700000766,3072176217254264832,68,1
3075,78.46,0.04518788500000426,10444691984130506752,75,1
3075,79.49,0.04359540400000128,13366991568674095104,65,1
3075,79.49,0.04233567499998969,3293925735340310528,61,1
3075,79.65,0.04492404300000885,7512707863971495936,59,1
3075,79.65,0.044502306999987695,7133332378796687360,68,1
3075,79.68,0.04579245100001117,10008106665820028928,69,1
3075,79.68,0.04416051500000151,13873549754778124288,48,1
3075,78.66,0.04473103599998751,8115873569285472256,60,1
3075,78.66,0.04423300400000585,6079604410684538880,77,1
3075,78.66,0.04300007700000208,3247913374942887936,71,1
3075,79.69,0.05184512200000313,3724177809657692160,40,1
3075,79.69,0.0452042739999996,11914404762749239296,69,1
3075,79.72,0.04457564499999478,17907657919961366528,70,1
3075,79.72,0.04310356499999557,17521333541638504448,62,1
3075,80.56,0.04223967400000106,1617434369550712832,66,1
3075,80.56,0.04243620900000167,6300509507224207360,70,1
3075,79.90,0.044912803000002555,2812858621190602752,55,1
3075,79.90,0.044315272000005734,3223090799790653440,59,1
3075,79.90,0.0444520579999903,15021519079846051840,55,1
3075,80.54,0.05813732000000016,4141235775687753728,62,1
3075,80.06,0.0519482450000055,15469556842161111040,70,1
3075,80.06,0.045082792000002314,7812381951601016832,49,1
3075,80.06,0.04429395900000088,17276511842577416192,76,1
3075,80.82,0.05642946999999765,6215521641060892672,75,1
3075,79.08,0.05416470899999126,1167479052254707712,52,1
3075,79.08,0.04511144399999978,7919456822056452096,60,1
3075,79.08,0.04460825400001056,42194846284513280,52,1
3075,79.52,0.044304613999997855,3027597634634121216,63,1
3075,79.52,0.04271721399999251,11755635270404407296,52,1
3075,80.00,0.04172278500000459,913834921718317056,78,1
3075,80.00,0.04365461599999776,10471308942344060928,66,1
2640,80.01,0.04359780299999727,18164917247119851520,64,1
3075,79.55,0.2510863910000012,12808545199718268928,81,12
3075,80.16,0.04520033000000012,17429731012338942976,61,1
3075,80.16,0.04300813400000436,14793225265511661568,66,1
3075,80.16,0.0419634029999969,9514364386424782848,74,1
3075,81.32,0.042093159000003766,13133983061050654720,70,1
3075,81.32,0.04270375800000181,7668345940007321600,61,1
3075,80.88,0.042802098999999316,16461791343853699072,65,1
3075,80.88,0.04270611799999813,9667917806995898368,61,1
3075,81.38,0.042796121999998604,16454235485272932352,50,1
3075,81.38,0.054511298000008424,18206056603318353920,51,1
3075,80.60,0.04399200099999234,4561724213181546496,77,1
3075,80.60,0.043393652999995425,10403570214360449024,68,1
3075,80.60,0.04332205500000441,16672598508339724288,82,1
3075,82.50,0.04300330499999916,15053475260781821952,57,1
3075,82.50,0.0443220310000072,13151478498904506368,74,1
3075,81.90,0.04474256499999285,9971708451770466304,69,1
3075,81.90,0.0478446860000048,18282265954063482880,79,1
3075,81.43,0.045284154000000854,16147023158313222144,48,1
3075,81.43,0.04433765000000278,18403678389842739200,83,1
