Frequency (MHz),Power (Watts),SM Usage (%),Error Time (s),Error Magnitude,Hamming Distance
3075,43.84,46,0.19643759727478027,524288,1
3090,131.65,73,5.049026966094971,524288,1
3090,131.67,73,3.302431344985962,524288,1
3090,131.67,73,0.05872392654418945,524288,1
