Frequency (MHz),Power (Watts),SM Usage (%),Error Time (s),Error Magnitude,Hamming Distance
3090,171.31,84,1.7106294631958008,512,1
3090,155.18,82,1.0970888137817383,512,1
3075,174.26,84,5.284012317657471,512,1
3075,176.47,84,4.567679166793823,512,1
3075,176.17,84,1.3063995838165283,524288,1
