Frequency (MHz),Power (Watts),Error Time (s),Total Errors
3090,215.74,0.737760958999985,1
3090,155.83,0.7350069750000046,2
3090,166.58,0.7509244679999938,3
3090,153.03,0.7335529210000118,4
3090,163.51,0.7340836310000043,5
