Frequency (MHz),Power (Watts),Error Time (s),Error Distance,Hamming Distance,Error Iterations Since Last Error
3045,110.18,0.08125522399996044,18446744071395475456,1,3
3045,109.79,0.132022877000054,5540413440,2,6
3045,107.94,0.11405441299996255,18446744072518238208,1,5
3045,108.05,0.0628378960000191,1554907136,1,2
3045,107.86,0.15045829199993932,3471572992,1,7
3045,107.86,0.07922660899998846,18446744073090891776,1,3
3045,109.52,0.18550736900010634,1291976704,1,9
3045,108.96,0.0963624499999014,18446744071730102272,1,4
3045,106.77,0.13346701900002245,310640640,1,6
3045,109.04,0.2036871440000141,2802188288,1,10
3045,110.18,0.11636194599998362,2586050560,1,5
3045,110.29,0.11474448199999188,18446744072593342464,1,5
3045,108.65,0.06237595400000373,18446744070261178368,1,2
3045,110.16,0.16820560799999384,18446744072613003264,1,8
3045,110.16,0.08127121799998349,18446744073092988928,1,3
3045,108.80,0.1329456520001031,1320812544,1,6
3045,112.51,0.5089604539999755,388366336,1,27
3045,113.36,0.14982802399993034,2027945984,1,7
3045,114.78,0.18887374700000237,18446744071543717888,1,9
3045,117.08,0.2768061830000761,601882624,1,14
3045,115.42,0.09692588299992622,18446744071697858560,1,4
3045,114.88,0.11502261300006467,391380992,1,5
3045,113.74,0.38191794599993045,682360832,2,20
3045,113.74,0.05131543100003455,2394292224,1,1
3045,113.54,0.09935697000003074,2355232768,1,4
3045,113.54,0.04435917699993297,18446744073684910080,1,1
3045,111.69,0.27331508500003565,196870144,1,14
3045,110.33,0.041761980000046606,18446744073136111616,1,1
3045,111.43,0.1133772839999665,18446744073107275776,1,5
3045,109.17,0.08039113699999234,18446744072883666944,1,3
3045,109.38,0.16902236999999332,18446744071529955328,1,8
3045,108.85,0.09631253300005937,1245315072,1,4
3045,106.93,0.060240230999966116,34996224,1,2
3045,108.58,0.25840057200002775,3841458176,2,13
3045,111.20,0.042389535999973305,18446744071283933184,1,1
3045,109.17,0.09544782800003304,18446744072502116352,1,4
3045,109.17,0.043545496999968236,150208512,1,1
3045,106.01,0.08122296299995924,3509190656,2,3
3045,105.70,0.15239629100005914,245497856,1,7
3045,109.05,0.22085365499992804,18446744072151236608,1,11
3045,109.05,0.04371974900004716,18446744072207728640,1,1
3045,107.93,0.2231294869999374,18446744069975048192,1,11
3045,108.44,0.04492405200005578,3711827968,1,1
3045,106.37,0.07916345900002852,2563506176,1,3
3045,106.37,0.06031842999993842,18446744073000714240,1,2
3045,104.51,0.09791201500001989,18446744071852130304,1,4
3045,108.99,0.24187578900000517,18446744073566289920,1,12
3045,108.99,0.04452796700002182,698875904,1,1
3045,106.67,0.23719979199995578,3441295360,1,12
3045,110.03,0.24142734800000198,3102474240,1,12
3045,109.52,0.07882759900007841,3543531520,2,3
3045,111.06,0.11477006399991296,18446744070898319360,1,5
3045,112.32,0.13424264100001437,3740008448,2,6
3045,111.32,0.14937965900003292,18446744070676545536,1,7
3045,110.21,0.09656009699995138,589955072,1,4
3045,112.47,0.2939131760000464,18446744072829140992,1,15
3045,111.42,0.1148711399999911,18446744071518552064,1,5
3045,112.52,0.20431569000004401,18446744070874988544,1,10
3045,115.14,0.30920802499997535,18446744070990594048,1,16
3045,113.71,0.07879150899998422,5242880,1,3
3045,113.74,0.1858306909999783,18446744073492234240,1,9
3045,115.88,0.40018302400005723,18446744072315994112,1,21
3045,115.26,0.16983400799995252,18446744070844841984,1,8
3045,115.49,0.2766205279999667,2697461760,1,14
3045,115.49,0.04236124400006247,532545536,1,1
3045,114.74,0.1850852389999318,18446744073286582272,1,9
3045,115.28,0.20466437800007498,18446744072684830720,1,10
3045,113.58,0.22032769099996585,18446744073180282880,2,11
3045,113.64,0.13481500499995036,18446744070732120064,1,6
3045,113.64,0.044596527000067,18446744071707951104,1,1
3045,111.33,0.13186924799992994,18446744072756789248,1,6
3045,113.53,0.23215711000000283,8518593879543382016,1,12
3045,112.42,0.07777866600008565,351141888,1,3
3045,112.40,0.20362141900000097,3964272640,1,10
3045,112.39,0.09903211400001055,18446744070721503232,1,4
3045,112.39,0.06303824199994779,1607991296,1,2
3045,109.04,0.06271124900001723,11772787657946431488,1,2
3045,109.00,0.13164228899995578,18446744070712852480,2,6
3045,107.39,0.060419955000043046,1145044992,1,2
