Frequency (MHz),Power (Watts),Error Time (s),Error Distance,Hamming Distance,Error Iterations Since Last Error
3075,57.08,0.013983036000354332,1056047104,1,1
3075,56.90,0.015105890999620897,1101529088,1,2
3075,56.90,0.015852268001253833,18446744071943094272,2,1
3075,56.90,0.015082043999427697,1535115264,1,2
3075,56.90,0.015396021999549703,241696768,2,1
3075,56.90,0.016460900000311085,13976437658428112896,1,4
3075,56.90,0.015170201000728412,14268265636625907712,1,2
3075,56.90,0.01567109999996319,18446744070504316928,2,1
3075,56.57,0.013844331999280257,620968980948975616,2,1
3075,56.57,0.012760059000356705,9842150792688041984,2,1
3075,56.57,0.015036266000606702,18446744070917062656,1,1
3075,56.57,0.01624506299958739,314048512,1,2
3075,56.57,0.015719973998784553,2015363072,1,1
3075,56.57,0.014056335001441767,5889934256414654464,2,1
3075,56.42,0.016105914999570814,448004096,1,3
3075,56.42,0.015714240998931928,695861248,1,1
3075,56.42,0.013295351000124356,1441398784,1,2
3075,56.42,0.015909190000456874,33554432,1,5
3075,56.42,0.01466859399988607,12764239284000653312,2,3
3075,56.42,0.013923358999818447,183894016,2,1
3075,56.42,0.01382570200075861,2343960576,1,3
3075,56.47,0.01694399999905727,1233125376,1,4
3075,56.47,0.01349202600067656,18446744071732199424,1,1
3075,56.47,0.015097614999831421,442499072,1,1
3075,56.47,0.014258948000133387,18446744073379774464,1,3
3075,56.47,0.015138467000724631,1083703296,1,3
3075,56.47,0.01898302299923671,2942697472,1,5
3075,56.46,0.01594260999991093,1082130432,1,5
3075,56.46,0.016141074000188382,18446744072287420416,1,3
3075,56.46,0.012712566000118386,18446744073160491008,1,1
3075,56.46,0.020515273999990313,18446744071732199424,1,6
3075,56.46,0.014531406999594765,478281728,1,4
3075,56.46,0.015751347000332316,18446744071240941568,1,1
3075,56.46,0.012866637000115588,18446744071819231232,1,1
3075,56.60,0.016675520999342552,307232768,1,2
3075,56.60,0.0140666040006181,1068236800,1,1
3075,56.60,0.017047839999577263,3833987072,1,2
3075,56.60,0.014835236999715562,18446744072015577088,1,3
3075,56.60,0.013637118001497583,10557325931951685632,1,2
3075,56.60,0.014479123999990406,18446744071100694528,1,1
3075,56.58,0.01691181899877847,18446744073458810880,1,2
3075,56.58,0.01841844100090384,10892228377600720896,2,6
3075,56.58,0.014741101998879458,9160128128025100288,1,3
3075,56.58,0.014114314000835293,970457088,1,3
3075,56.58,0.015998327999113826,18446744073393012736,1,4
3075,56.58,0.013373327999943285,52690944,1,1
3075,56.58,0.01629400700039696,14268265636625907712,1,2
3075,56.67,0.014238178000596236,18446744072031830016,2,2
